Provincia;Via;PKInicio;PKFin;Tramo;Tipo;Causa;Calzada;RutaAlt;Observaciones;FechaAlta;MasInfo;Column 13
Palencia;P-434;3.0;6.5;DE FRÓMISTA (P-431) A LÍMITE DE PROVINCIA DE BURGOS;Precaución;Otras;Única;;--;2025-10-03T12:13:49+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226579;
Palencia;P-980;1.0;1.2;DE CARRIÓN DE LOS CONDES (N-120) A VILLALCÁZAR DE SIRGA (P-981);Precaución;Otras;Única;;--;2025-08-14T15:12:08+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225985;
Palencia;P-981;9.56;13.79;DE VILLALCÁZAR DE SIRGA (P-980) A A-67 (SANTILLANA DE CAMPOS);Precaución;Otras;Única;;--;2025-09-30T13:15:06+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226539;
Palencia;P-991;0.0;2.75;DE MONZÓN DE CAMPOS (N-611) A CL-615;Precaución;Obras;Única;;--;2025-07-23T18:00:51+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225747;
Salamanca;SA-104;0.9;1.58;DE GUIJUELO A LÍMITE DE PROVINCIA DE ÁVILA;Cortada;Obras;Única;A través del enlace 387 de la autovía A-66.;Obras en la vía;2025-10-09T10:57:37+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226660;
Salamanca;SA-104;4.8;7.455;DE GUIJUELO A LÍMITE DE PROVINCIA DE ÁVILA;Circulación alternativa;Obras;Única;;Obras en la vía;2025-10-09T10:55:45+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226659;
Salamanca;SA-220;19.0;21.0;DE CARRETERA A NAVALMORAL DE BÉJAR A SANTIBÁÑEZ DE LA SIERRA (SA-205);Precaución;Otras;Única;;--;2025-10-22T10:22:59+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226782;
Salamanca;SA-801;17.0;17.2;DE SA-810 A CL-605;Precaución;Otras;Única;;--;2025-10-22T10:51:45+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226788;
Salamanca;SA-801;21.0;24.0;DE SA-810 A CL-605;Precaución;Otras;Única;;--;2025-05-20T15:51:23+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224908;
Segovia;CL-602;103.2;103.3;DE LÍMITE DE PROVINCIA DE VALLADOLID A CUÉLLAR;Precaución;Obras;Única;;--;2025-10-20T14:34:55+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226760;
Segovia;CL-603;47.5;48.5;DE SAN MIGUEL DE BERNUY A CANTALEJO (SG-205);Precaución;Obras;Única;Desvío por las calles de la localidad.;Pavimentación;2025-10-17T11:49:17+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226740;
Segovia;SG-322;11.7;20.67;DE N-110 A MUÑOPEDRO;Precaución;Obras;Única;;--;2025-09-26T13:23:37+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226496;
Soria;SO-630;0.0;0.5;DE SO-615 A SAN PEDRO MANRIQUE (SO-650);Cortada;Obras;Única;;Obras en la vía;2025-10-14T10:20:59+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226691;
